,BAD,LOAN,VALUE,YOJ,DEROG,DELINQ,CLAGE,NINQ,CLNO,DEBTINC,Mgr,Office,Other,ProfExe,DebtCon,PROBINC
0,1,11.987152991346441,10.572213958554391,3.0204248861443626,0.0,0.0,94.366666667,1.0,2.9444389791664403,,False,False,True,False,False,
1,1,12.443164837124831,11.133274291755043,2.833213344056216,0.0,2.0,121.83333333,0.0,3.1780538303479458,,False,False,True,False,False,
2,1,12.842514792348792,9.72376262158944,2.6390573296152584,0.0,0.0,149.46666667,1.0,2.995732273553991,,False,False,True,False,False,
3,1,12.842514792348792,,,0.0,0.0,,,,,False,False,True,False,False,
4,0,13.198539446859785,11.626343432005784,2.5649493574615367,0.0,0.0,93.333333333,0.0,3.1780538303479458,,False,True,False,False,False,
5,1,13.198539446859785,10.604850887867414,2.9444389791664403,0.0,0.0,101.46600191,1.0,2.8903717578961645,37.113613558,False,False,True,False,False,823.0941983663364
6,1,13.363247080408904,10.9516307684562,2.70805020110221,3.0,2.0,77.1,1.0,3.295836866004329,,False,False,True,False,False,
7,1,13.363247080408904,10.669978127320283,3.044522437723423,0.0,0.0,88.766029879,0.0,2.8903717578961645,36.884894093,False,False,True,False,False,772.7282591116101
8,1,13.670386213902892,10.752569534716834,2.5649493574615367,0.0,2.0,216.93333333,1.0,3.091042453358316,,False,False,True,False,False,
9,1,13.670386213902892,11.039074443995599,3.258096538021482,0.0,0.0,115.8,0.0,3.1354942159291497,,False,False,False,False,False,
10,1,13.670386213902892,,3.332204510175204,0.0,0.0,,,,,False,False,True,False,False,
11,1,13.670386213902892,10.302599186672117,3.044522437723423,0.0,1.0,122.53333333,1.0,2.9444389791664403,,False,True,False,False,False,
12,1,13.670386213902892,10.915270265869504,2.5649493574615367,0.0,0.0,86.066666667,2.0,3.5553480614894135,,False,False,True,False,False,
13,0,13.670386213902892,11.378364971574534,2.5257286443082556,0.0,0.0,147.13333333,0.0,3.5263605246161616,,True,False,False,False,False,
14,1,13.814182476083198,11.336904020724754,2.8903717578961645,0.0,1.0,123.0,0.0,3.258096538021482,,False,False,True,False,False,
15,1,13.952220375888153,10.454408506866061,,0.0,1.0,300.86666667,0.0,2.8903717578961645,,False,False,True,False,False,
16,1,13.952220375888153,11.538690672856255,2.833213344056216,2.0,6.0,122.9,1.0,3.4657359027997265,,True,False,False,False,False,
17,1,13.952220375888153,,3.367295829986474,0.0,0.0,,,,3.7113122995,False,False,True,False,False,6205.352215469088
18,1,14.084977036586329,10.60062675436561,2.6741486494265287,0.0,0.0,54.6,1.0,3.258096538021482,,False,False,True,False,False,
19,0,14.084977036586329,11.703239992693108,2.4849066497880004,0.0,0.0,90.992533467,0.0,3.1354942159291497,31.588503178,False,True,False,False,False,3240.7360178843865
20,1,14.084977036586329,10.740951503864313,2.5649493574615367,0.0,1.0,122.26666667,1.0,3.1780538303479458,,False,False,True,False,False,
21,1,14.212871358815452,11.203747332173561,2.70805020110221,1.0,0.0,,1.0,2.302585092994046,,False,False,False,True,False,
22,1,14.212871358815452,10.616682428399852,3.091042453358316,0.0,0.0,67.2,2.0,3.4657359027997265,,True,False,False,False,False,
